recipename,Ingredient Name,Quantity Used,Unit Type,Unit Cost,Cost Per Item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cherry Lemonade,Ingredient Name,Quantity Used,Unit Type,Unit Cost,Cost Per Item
Regular Lemonade,Straw,1,Per Cup,$0.01,$0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Straw,1,Per Cup,$0.01,$0.01
,Cup & Lid,1,Per Cup,$0.21,$0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cup & Lid,1,Per Cup,$0.21,$0.21
,Sticker (Logo),1,Per Cup,$0.05,$0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sticker (Logo),1,Per Cup,$0.05,$0.05
,Sticker Printer,1,Per Cup,$0.01,$0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sticker Printer,1,Per Cup,$0.01,$0.01
,Cup Labor,1,Per Cup,$0.06,$0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cup Labor,1,Per Cup,$0.06,$0.06
,Ice,1,per lb,$0.19,$0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ice,1,per lb,$0.19,$0.19
,Water,2,per cup (8oz),$0.03,$0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water,2,per cup (8oz),$0.03,$0.06
,Lemon,1,Per Cup,$0.28,$0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lemon,1,Per Cup,$0.28,$0.28
,Simple Syrup,3,Per Oz,$0.03,$0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Simple Syrup,2,Per Oz,$0.03,$0.07
,,,,Cost Per Drink,$0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cherry,0.75,Per Oz,$0.29,$0.22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cost Per Drink,$1.14
