itemName,ItemCost,quantity,unitCost,category
Straws,$64.99,12000,$0.01,Per Straw
Cups & Lids,$52.99,250,$0.21,Per Cup
Stickers (Logo),$227.30,5000,$0.05,Per Label
Stickers (Printer),$6.75,1020,$0.01,Per Label
Stickers (Menu),$227.30,5000,$0.05,Per Label
Cup Labor,$15.00,250,$0.06,Per Cup
Ice,$3.00,16,$0.19,per lb
Water,$0.50,16,$0.03,per cup (8oz)
Tea Concentrate,$15.95,256,$0.06,per cup (8oz)
Lemon,$38.87,140,$0.28,Per Cup
Lime,$43.30,200,$0.22,Per Cup
Simple Syrup,$21.02,640,$0.03,Per oz
Sugar Free Simple Syrup,$16.04,128,$0.13,Per oz
Sweetened Condenced Milk,$1.94,14,$0.14,per oz
Blue Raspberry,$9.90,33.814,$0.29,Per oz
Candied Orange,$9.90,33.814,$0.29,Per oz
Coconut,$9.90,33.814,$0.29,Per oz
Cucumber,$9.99,33.814,$0.30,Per oz
Lavender,$9.90,33.814,$0.29,Per oz
Peach,$9.90,33.814,$0.29,Per oz
Pineapple,$9.90,33.814,$0.29,Per oz
Raspberry,$9.90,33.814,$0.29,Per oz
Strawberry,$9.90,33.814,$0.29,Per oz
Watermelon,$9.90,33.814,$0.29,Per oz
French Vanilla,$9.90,33.814,$0.29,Per oz
Cherry,$9.90,33.814,$0.29,Per oz
Blood Orange,$9.90,33.814,$0.29,Per Oz
Sugar Free Coconut,$9.90,33.814,$0.29,Per oz
Sugar Free Peach,$9.90,33.814,$0.29,Per oz
Sugar Free Raspberry,$9.90,33.814,$0.29,Per oz
Sugar Free Strawberry,$9.90,33.814,$0.29,Per oz
Sugar Free Cherry,$9.90,33.814,$0.29,Per oz
Flavor Add On,$9.90,33.814,$0.29,Per oz
Glowing Ice Cube,$137.32,501,$0.27,Per Cup
