,Event Name,Drink Name,Cost Per Drink,Quantity Sold,Total Cost
Lemonade,Skyridge Football Game,,,,
1,,Regular Lemonade,$0.96,21,$20.07
2,,Blue Raspberry Lemonade,$1.14,2,$2.28
3,,Candied Orange Lemonade,$1.14,0,$0.00
4,,Coconut Lemonade,$1.14,0,$0.00
5,,Cucumber Lemonade,$1.14,0,$0.00
6,,Lavender Lemonade,$1.15,2,$2.30
7,,Peach Lemonade,$1.14,1,$1.14
8,,Pineapple Lemonade,$1.14,0,$0.00
9,,Raspberry Lemonade,$1.14,4,$4.57
10,,Strawberry Lemonade,$1.14,11,$12.57
11,,Watermelon Lemonade,$1.14,1,$1.14
12,,French Vanilla Lemonade,$1.14,0,$0.00
13,,Cherry Lemonade,$1.14,0,$0.00
14,,Regular Sugar Free Lemonade,$1.61,2,$3.22
15,,Sugar Free Coconut Lemonade,$1.65,0,$0.00
Limeade,,,,,
20,,Regular Limeade,$0.89,9,$8.05
21,,Blue Raspberry Limeade,$1.08,1,$1.08
22,,Candied Orange Limeade,$1.08,0,$0.00
23,,Coconut Limeade,$1.08,0,$0.00
24,,Cucumber Limeade,$1.08,4,$4.33
25,,Lavender Limeade,$1.08,0,$0.00
26,,Peach Limeade,$1.08,0,$0.00
27,,Pineapple Limeade,$1.08,0,$0.00
28,,Raspberry Limeade,$1.08,0,$0.00
29,,Strawberry Limeade,$1.08,0,$0.00
