id,userId,posSystem,posItemId,posItemName,variationName,inventoryId,createdAt
1,92193a1d-52d5-4c20-ba07-0ecea6e0245b,square,3I4FATUVGUZQL7SMNZCN4N65,Lemonade (Regular),Classic,,2026-04-03 13:38:37.815259
2,92193a1d-52d5-4c20-ba07-0ecea6e0245b,square,NCYRBCACVVLIPKAN27CDEKLF,Lemonade (Regular),Blue Raz,,2026-04-03 13:38:37.815259
3,92193a1d-52d5-4c20-ba07-0ecea6e0245b,square,R2NPSFEGQ55HJWA2ZKY3AQSR,Lemonade (Regular),Candied Orange,118,2026-04-03 13:38:37.815259
4,92193a1d-52d5-4c20-ba07-0ecea6e0245b,square,2YQXXQJ5W5FYXVNHUMF6S2BK,Lemonade (Regular),Cherry,134,2026-04-03 13:38:37.815259
5,92193a1d-52d5-4c20-ba07-0ecea6e0245b,square,Q4BDHJSC6CVYBXV65JDFWHBK,Lemonade (Regular),Coconut,130,2026-04-03 13:38:37.815259
6,92193a1d-52d5-4c20-ba07-0ecea6e0245b,square,4ALBQIKBUKA2LWDU6BH5RTXH,Lemonade (Regular),Cucumber,120,2026-04-03 13:38:37.815259
7,92193a1d-52d5-4c20-ba07-0ecea6e0245b,square,SEXBM72NOWD53GZ4HY5KEEF4,Lemonade (Regular),French Vanilla,127,2026-04-03 13:38:37.815259
8,92193a1d-52d5-4c20-ba07-0ecea6e0245b,square,V256FXDDSEJU6PNEPRJQ4OU5,Lemonade (Regular),Lavender,121,2026-04-03 13:38:37.815259
9,92193a1d-52d5-4c20-ba07-0ecea6e0245b,square,B35M36O6MYOKK6EVVYCU7TAE,Lemonade (Regular),Peach,131,2026-04-03 13:38:37.815259
10,92193a1d-52d5-4c20-ba07-0ecea6e0245b,square,TBGUU5CAFDK7HF4TXIQNQLX5,Lemonade (Regular),Pineapple,123,2026-04-03 13:38:37.815259
11,92193a1d-52d5-4c20-ba07-0ecea6e0245b,square,LITQ34C7ZT3NKCODHGGFJFXL,Lemonade (Regular),Raspberry,132,2026-04-03 13:38:37.815259
12,92193a1d-52d5-4c20-ba07-0ecea6e0245b,square,62UBGZIIMWMLCYJFYSB42LU2,Lemonade (Regular),Rose,,2026-04-03 13:38:37.815259
13,92193a1d-52d5-4c20-ba07-0ecea6e0245b,square,I3B54GUNWTAJRPYTNZ2J2CZV,Lemonade (Regular),Stone Fruit (Peach Apricot and Dark Cherry,,2026-04-03 13:38:37.815259
14,92193a1d-52d5-4c20-ba07-0ecea6e0245b,square,SF3L4RYVL6Z3DOY2RTDDKCEP,Lemonade (Regular),Strawberry,133,2026-04-03 13:38:37.815259
15,92193a1d-52d5-4c20-ba07-0ecea6e0245b,square,KTXKMTFSTY7M6SR7KVY5GL5L,Lemonade (Regular),Watermelon,126,2026-04-03 13:38:37.815259
16,92193a1d-52d5-4c20-ba07-0ecea6e0245b,square,WTBABIL2AXVBCLGEIVJQON3I,Hawaii Blue,Regular,117,2026-04-03 13:38:37.815259
17,92193a1d-52d5-4c20-ba07-0ecea6e0245b,square,V2GLAXGIZLQCEADXDS4JKURL,Sweet Dream,Regular,,2026-04-03 13:38:37.815259
18,92193a1d-52d5-4c20-ba07-0ecea6e0245b,square,HMICXUHGAPE5ZO657VLRB47P,Lemonade (SF),SF Classic,,2026-04-03 13:38:37.815259
19,92193a1d-52d5-4c20-ba07-0ecea6e0245b,square,A2T46ZLARYKQE7QC2G22QSG5,Lemonade (SF),SF Blue Raz,,2026-04-03 13:38:37.815259
20,92193a1d-52d5-4c20-ba07-0ecea6e0245b,square,MLFUBWPPXCKVY45IRTBBBI6Q,Lemonade (SF),SF Cherry,,2026-04-03 13:38:37.815259
21,92193a1d-52d5-4c20-ba07-0ecea6e0245b,square,SNPQYWZ5W4Q6EMKYFSAF6W2W,Lemonade (SF),SF Coconut,,2026-04-03 13:38:37.815259
22,92193a1d-52d5-4c20-ba07-0ecea6e0245b,square,IZ7IF7FT5VZZJ3AT74ICFSEN,Lemonade (SF),SF Peach,,2026-04-03 13:38:37.815259
23,92193a1d-52d5-4c20-ba07-0ecea6e0245b,square,L4JAREDG523BNKGGL4NHSGXD,Lemonade (SF),SF Raspberry,,2026-04-03 13:38:37.815259
24,92193a1d-52d5-4c20-ba07-0ecea6e0245b,square,T5HLCUWTKSV4KH7SRM6GWKDK,Lemonade (SF),SF Strawberry,,2026-04-03 13:38:37.815259
25,92193a1d-52d5-4c20-ba07-0ecea6e0245b,square,OEFU3HRBSUFOLRXRZYZSYMNY,Cherry Limeade,Regular,128,2026-04-03 13:38:37.815259
26,92193a1d-52d5-4c20-ba07-0ecea6e0245b,square,MYZKTUAS3FW24UMTTNAX2NKS,Cherry Limeade,Sugar Free,134,2026-04-03 13:38:37.815259
27,92193a1d-52d5-4c20-ba07-0ecea6e0245b,square,TJOVSU227MFEPJKU6CIZDR4M,Blue Lagoon,Regular,117,2026-04-03 13:38:37.815259
28,92193a1d-52d5-4c20-ba07-0ecea6e0245b,square,HRDB6LKGNIKB35EZT6WPBLPZ,Limeade (Regular),Classic,,2026-04-03 13:38:37.815259
29,92193a1d-52d5-4c20-ba07-0ecea6e0245b,square,YKSFQOQGCHJ3BKK6W5CZ276U,Limeade (Regular),Blue Raz,,2026-04-03 13:38:37.815259
30,92193a1d-52d5-4c20-ba07-0ecea6e0245b,square,TV52GMNA5HF2DG7YXFDGIFL5,Limeade (Regular),Candied Orange,118,2026-04-03 13:38:37.815259
31,92193a1d-52d5-4c20-ba07-0ecea6e0245b,square,CV6D3KMBX2LBDRK7ZVZTNPYW,Limeade (Regular),Coconut,130,2026-04-03 13:38:37.815259
32,92193a1d-52d5-4c20-ba07-0ecea6e0245b,square,T2DVL24FHL7USEJMVLRG6JA2,Limeade (Regular),Cucumber,120,2026-04-03 13:38:37.815259
33,92193a1d-52d5-4c20-ba07-0ecea6e0245b,square,UWZTUQV6Q6RUKWYME3YQ32JA,Limeade (Regular),French Vanilla,127,2026-04-03 13:38:37.815259
34,92193a1d-52d5-4c20-ba07-0ecea6e0245b,square,Z6IFV5WZNXN2DLARSPPOJMOU,Limeade (Regular),Lavender,121,2026-04-03 13:38:37.815259
35,92193a1d-52d5-4c20-ba07-0ecea6e0245b,square,SUQJ6MYMBFBH7SL6B3D5ZFLQ,Limeade (Regular),Peach,131,2026-04-03 13:38:37.815259
36,92193a1d-52d5-4c20-ba07-0ecea6e0245b,square,K77UA72XN3FIMGSJ2E2PK7IC,Limeade (Regular),Pineapple,123,2026-04-03 13:38:37.815259
37,92193a1d-52d5-4c20-ba07-0ecea6e0245b,square,3UFK2V24IXCJVD6OW7ECR4FA,Limeade (Regular),Raspberry,132,2026-04-03 13:38:37.815259
38,92193a1d-52d5-4c20-ba07-0ecea6e0245b,square,WBJK4ZRFJ4I5474EJROEM376,Limeade (Regular),Rose,,2026-04-03 13:38:37.815259
39,92193a1d-52d5-4c20-ba07-0ecea6e0245b,square,A6BEL4ZAUYHGD6BZ7EPZO5JZ,Limeade (Regular),Stone fruit (Peach Apricot and Dark Cherry),,2026-04-03 13:38:37.815259
40,92193a1d-52d5-4c20-ba07-0ecea6e0245b,square,CLZ44WZWRDDMMEKTGTDK4AOP,Limeade (Regular),Strawberry,133,2026-04-03 13:38:37.815259
41,92193a1d-52d5-4c20-ba07-0ecea6e0245b,square,4HSHXJF7OIJZDCHZWGKR5ITK,Limeade (Regular),Watermelon,126,2026-04-03 13:38:37.815259
42,92193a1d-52d5-4c20-ba07-0ecea6e0245b,square,NUXZDFD5ZBTOSJ6FJZSIIHGS,Arnold Palmer (Regular),Classic,,2026-04-03 13:38:37.815259
43,92193a1d-52d5-4c20-ba07-0ecea6e0245b,square,XOVYD5L7ZH2GHRRUVUY3VVEV,Arnold Palmer (Regular),Blue Raz,,2026-04-03 13:38:37.815259
44,92193a1d-52d5-4c20-ba07-0ecea6e0245b,square,M2FEADRZS7DWHMREXCD2JZNC,Arnold Palmer (Regular),Candied Orange,118,2026-04-03 13:38:37.815259
