itemName,unitCost,category,sku
Straws,0.01,Supplies,
Cups & Lids,0.21,Supplies,
Stickers (Logo),0.05,Supplies,
Stickers (Printer),0.01,Supplies,
Stickers (Menu),0.05,Supplies,
Cup Labor,0.06,Labor,
Ice,0.19,Ingredients,
Water,0.03,Ingredients,
Tea Concentrate,0.06,Ingredients,
Lemon,0.28,Ingredients,
Lime,0.22,Ingredients,
Simple Syrup,0.03,Ingredients,
Sugar Free Simple Syrup,0.13,Ingredients,
Sweetened Condenced Milk,0.14,Ingredients,
Blue Raspberry,0.29,Syrups,
Candied Orange,0.29,Syrups,
Coconut,0.29,Syrups,
Cucumber,0.30,Syrups,
Lavender,0.29,Syrups,
Peach,0.29,Syrups,
Pineapple,0.29,Syrups,
Raspberry,0.29,Syrups,
Strawberry,0.29,Syrups,
Watermelon,0.29,Syrups,
French Vanilla,0.29,Syrups,
Cherry,0.29,Syrups,
Blood Orange,0.29,Syrups,
Sugar Free Coconut,0.29,Sugar Free Syrups,
Sugar Free Peach,0.29,Sugar Free Syrups,
Sugar Free Raspberry,0.29,Sugar Free Syrups,
Sugar Free Strawberry,0.29,Sugar Free Syrups,
Sugar Free Cherry,0.29,Sugar Free Syrups,
Flavor Add On,0.29,Syrups,
Glowing Ice Cube,0.27,Supplies,
