id,recipeId,ingredientName,quantityUsed,unitType,unitCost,updatedAt,inventoryId
3469,269,.,1,,1,2026-03-17 15:27:10.245367,
8853,8,Straw,1,Per Cup,0.01,2026-04-03 13:42:21.669548,103
8854,8,Cup & Lid,1,Per Cup,0.21,2026-04-03 13:42:21.669548,104
8855,8,Sticker (Logo),1,Per Cup,0.05,2026-04-03 13:42:21.669548,105
8856,8,Sticker Printer,1,Per Cup,0.01,2026-04-03 13:42:21.669548,106
8857,8,Cup Labor,1,Per Cup,0.06,2026-04-03 13:42:21.669548,108
8858,8,Ice,1,per lb,0.19,2026-04-03 13:42:21.669548,109
8859,8,Water,2,per cup (8oz),0.03,2026-04-03 13:42:21.669548,110
8860,8,Tea Concentrate,2,Per Cup,0.06,2026-04-03 13:42:21.669548,111
8861,8,Lemon,1,Per Cup,0.28,2026-04-03 13:42:21.669548,112
8862,8,Simple Syrup,3,Per Oz,0.03,2026-04-03 13:42:21.669548,114
8873,10,Straw,1,Per Cup,0.01,2026-04-03 13:42:21.669548,103
8874,10,Cup & Lid,1,Per Cup,0.21,2026-04-03 13:42:21.669548,104
8875,10,Sticker (Logo),1,Per Cup,0.05,2026-04-03 13:42:21.669548,105
8876,10,Sticker Printer,1,Per Cup,0.01,2026-04-03 13:42:21.669548,106
8877,10,Cup Labor,1,Per Cup,0.06,2026-04-03 13:42:21.669548,108
8878,10,Ice,1,per lb,0.19,2026-04-03 13:42:21.669548,109
8879,10,Water,2,per cup (8oz),0.03,2026-04-03 13:42:21.669548,110
8880,10,Lime,1,Per Cup,0.22,2026-04-03 13:42:21.669548,113
8881,10,Simple Syrup,2,Per Oz,0.03,2026-04-03 13:42:21.669548,114
8882,10,Coconut,0.25,Per Oz,0.29,2026-04-03 13:42:21.669548,119
8883,10,Blue Raspberry,0.75,Per Oz,0.29,2026-04-03 13:42:21.669548,117
10208,130,Straw,1,Per Cup,0.01,2026-04-03 13:42:21.669548,103
10209,130,Cup & Lid,1,Per Cup,0.21,2026-04-03 13:42:21.669548,104
10210,130,Sticker (Logo),1,Per Cup,0.05,2026-04-03 13:42:21.669548,105
10211,130,Sticker Printer,1,Per Cup,0.01,2026-04-03 13:42:21.669548,106
10212,130,Cup Labor,1,Per Cup,0.06,2026-04-03 13:42:21.669548,108
10213,130,Ice,1,per lb,0.19,2026-04-03 13:42:21.669548,109
10214,130,Water,2,per cup (8oz),0.03,2026-04-03 13:42:21.669548,110
10215,130,Lime,1,Per Cup,0.22,2026-04-03 13:42:21.669548,113
10216,130,Simple Syrup,2,Per Oz,0.03,2026-04-03 13:42:21.669548,114
10217,130,Cherry,1,Per Oz,0.29,2026-04-03 13:42:21.669548,128
9792,93,Straw,1,Per Cup,0.01,2026-04-03 13:42:21.669548,103
9793,93,Cup & Lid,1,Per Cup,0.21,2026-04-03 13:42:21.669548,104
9794,93,Sticker (Logo),1,Per Cup,0.05,2026-04-03 13:42:21.669548,105
9795,93,Sticker Printer,1,Per Cup,0.01,2026-04-03 13:42:21.669548,106
9796,93,Cup Labor,1,Per Cup,0.06,2026-04-03 13:42:21.669548,108
9797,93,Ice,1,per lb,0.19,2026-04-03 13:42:21.669548,109
9798,93,Water,2,per cup (8oz),0.03,2026-04-03 13:42:21.669548,110
9799,93,Lemon,1,Per Cup,0.28,2026-04-03 13:42:21.669548,112
8787,1,Straw,1,Per Cup,0.01,2026-04-03 13:42:21.669548,103
9800,93,Simple Syrup,2,Per Oz,0.03,2026-04-03 13:42:21.669548,114
9801,93,Sweetened Condensed Milk,0.5,Per Oz,0.14,2026-04-03 13:42:21.669548,116
9802,93,Pineapple,0.25,Per Oz,0.29,2026-04-03 13:42:21.669548,123
9803,93,Blue Raspberry,0.5,Per Oz,0.29,2026-04-03 13:42:21.669548,117
9689,84,Straw,1,Per Cup,0.01,2026-04-03 13:42:21.669548,103
9690,84,Cup & Lid,1,Per Cup,0.21,2026-04-03 13:42:21.669548,104
9691,84,Sticker (Logo),1,Per Cup,0.05,2026-04-03 13:42:21.669548,105
9692,84,Sticker Printer,1,Per Cup,0.01,2026-04-03 13:42:21.669548,106
9693,84,Cup Labor,1,Per Cup,0.06,2026-04-03 13:42:21.669548,108
9694,84,Ice,1,per lb,0.19,2026-04-03 13:42:21.669548,109
9695,84,Water,2,per cup (8oz),0.03,2026-04-03 13:42:21.669548,110
9696,84,Lemon,1,Per Cup,0.28,2026-04-03 13:42:21.669548,112
9697,84,Simple Syrup,1,Per Oz,0.03,2026-04-03 13:42:21.669548,114
9698,84,Sweetened Condensed Milk,0.5,Per Oz,0.14,2026-04-03 13:42:21.669548,116
9699,84,Strawberry,0.5,Per Oz,0.29,2026-04-03 13:42:21.669548,125
9700,84,Pineapple,0.25,Per Oz,0.29,2026-04-03 13:42:21.669548,123
9701,84,Coconut,0.25,Per Oz,0.29,2026-04-03 13:42:21.669548,119
9444,62,Straw,1,Per Cup,0.01,2026-04-03 13:42:21.669548,103
9445,62,Cup & Lid,1,Per Cup,0.21,2026-04-03 13:42:21.669548,104
9446,62,Sticker (Logo),1,Per Cup,0.05,2026-04-03 13:42:21.669548,105
9447,62,Sticker Printer,1,Per Cup,0.01,2026-04-03 13:42:21.669548,106
9448,62,Cup Labor,1,Per Cup,0.06,2026-04-03 13:42:21.669548,108
9449,62,Ice,1,per lb,0.19,2026-04-03 13:42:21.669548,109
9450,62,Water,2,per cup (8oz),0.03,2026-04-03 13:42:21.669548,110
9451,62,Lemon,1,Per Cup,0.28,2026-04-03 13:42:21.669548,112
9452,62,Simple Syrup,2,Per Oz,0.03,2026-04-03 13:42:21.669548,114
9453,62,French Vanilla,0.5,Per Oz,0.29,2026-04-03 13:42:21.669548,127
9454,62,Candied Orange,0.5,Per Oz,0.29,2026-04-03 13:42:21.669548,118
9587,75,Straw,1,Per Cup,0.01,2026-04-03 13:42:21.669548,103
9588,75,Cup & Lid,1,Per Cup,0.21,2026-04-03 13:42:21.669548,104
9589,75,Sticker (Logo),1,Per Cup,0.05,2026-04-03 13:42:21.669548,105
9590,75,Sticker Printer,1,Per Cup,0.01,2026-04-03 13:42:21.669548,106
9591,75,Cup Labor,1,Per Cup,0.06,2026-04-03 13:42:21.669548,108
9592,75,Ice,1,per lb,0.19,2026-04-03 13:42:21.669548,109
9593,75,Water,2,per cup (8oz),0.03,2026-04-03 13:42:21.669548,110
9594,75,Lemon,1,Per Cup,0.28,2026-04-03 13:42:21.669548,112
9595,75,Simple Syrup,2,Per Oz,0.03,2026-04-03 13:42:21.669548,114
9596,75,Sweetened Condensed Milk,0.5,Per Oz,0.14,2026-04-03 13:42:21.669548,116
9597,75,Pineapple,0.5,Per Oz,0.29,2026-04-03 13:42:21.669548,123
9598,75,Coconut,0.5,Per Oz,0.29,2026-04-03 13:42:21.669548,119
9013,23,Straw,1,Per Cup,0.01,2026-04-03 13:42:21.669548,103
9014,23,Cup & Lid,1,Per Cup,0.21,2026-04-03 13:42:21.669548,104
9015,23,Sticker (Logo),1,Per Cup,0.05,2026-04-03 13:42:21.669548,105
9016,23,Sticker Printer,1,Per Cup,0.01,2026-04-03 13:42:21.669548,106
9017,23,Cup Labor,1,Per Cup,0.06,2026-04-03 13:42:21.669548,108
9018,23,Ice,1,per lb,0.19,2026-04-03 13:42:21.669548,109
9019,23,Water,2,per cup (8oz),0.03,2026-04-03 13:42:21.669548,110
9020,23,Lemon,1,Per Cup,0.28,2026-04-03 13:42:21.669548,112
9021,23,Simple Syrup,2,Per Oz,0.03,2026-04-03 13:42:21.669548,114
9022,23,Strawberry,0.25,Per Oz,0.29,2026-04-03 13:42:21.669548,125
9023,23,Peach,0.5,Per Oz,0.29,2026-04-03 13:42:21.669548,122
9024,23,Coconut,0.25,Per Oz,0.29,2026-04-03 13:42:21.669548,119
8812,3,Lime,1,Per Cup,0.22,2026-04-03 13:42:21.669548,113
8813,3,Simple Syrup,3,Per Oz,0.03,2026-04-03 13:42:21.669548,114
9301,49,Straw,1,Per Cup,0.01,2026-04-03 13:42:21.669548,103
9302,49,Cup & Lid,1,Per Cup,0.21,2026-04-03 13:42:21.669548,104
9303,49,Sticker (Logo),1,Per Cup,0.05,2026-04-03 13:42:21.669548,105
9304,49,Sticker Printer,1,Per Cup,0.01,2026-04-03 13:42:21.669548,106
9305,49,Cup Labor,1,Per Cup,0.06,2026-04-03 13:42:21.669548,108
9306,49,Ice,1,per lb,0.19,2026-04-03 13:42:21.669548,109
9307,49,Water,2,per cup (8oz),0.03,2026-04-03 13:42:21.669548,110
9308,49,Lemon,1,Per Cup,0.28,2026-04-03 13:42:21.669548,112
9309,49,Simple Syrup,2,Per Oz,0.03,2026-04-03 13:42:21.669548,114
9310,49,Strawberry,0.5,Per Oz,0.29,2026-04-03 13:42:21.669548,125
9311,49,French Vanilla,0.5,Per Oz,0.29,2026-04-03 13:42:21.669548,127
10251,275,Straw,1,Per Cup,0,2026-05-08 09:05:36.815791,103
10252,275,Cup & Lid,1,Per Cup,0,2026-05-08 09:05:36.815791,104
10253,275,Sticker (Logo),1,Per Cup,0,2026-05-08 09:05:36.815791,105
10254,275,Sticker Printer,1,Per Cup,0,2026-05-08 09:05:36.815791,106
10255,275,Cup Labor,1,Per Cup,0,2026-05-08 09:05:36.815791,108
10256,275,Ice,1,per lb,0,2026-05-08 09:05:36.815791,109
10257,275,Water,2,per cup (8oz),0,2026-05-08 09:05:36.815791,110
10258,275,Lime,2,Per Cup,0,2026-05-08 09:05:36.815791,113
10259,275,Simple Syrup,2,Per Oz,0,2026-05-08 09:05:36.815791,114
10260,275,Sweetened Condensed Milk,2,Per Oz,0,2026-05-08 09:05:36.815791,116
8788,1,Cup & Lid,1,Per Cup,0.21,2026-04-03 13:42:21.669548,104
8789,1,Sticker (Logo),1,Per Cup,0.05,2026-04-03 13:42:21.669548,105
9157,36,Straw,1,Per Cup,0.01,2026-04-03 13:42:21.669548,
8790,1,Sticker Printer,1,Per Cup,0.01,2026-04-03 13:42:21.669548,106
8791,1,Cup Labor,1,Per Cup,0.06,2026-04-03 13:42:21.669548,108
8792,1,Ice,1,per lb,0.19,2026-04-03 13:42:21.669548,109
8793,1,Water,2,per cup (8oz),0.03,2026-04-03 13:42:21.669548,110
8794,1,Lemon,1,Per Cup,0.28,2026-04-03 13:42:21.669548,112
8795,1,Simple Syrup,3,Per Oz,0.03,2026-04-03 13:42:21.669548,114
8796,2,Straw,1,Per Cup,0.01,2026-04-03 13:42:21.669548,
8797,2,Cup & Lid,1,Per Cup,0.21,2026-04-03 13:42:21.669548,
8798,2,Sticker (Logo),1,Per Cup,0.05,2026-04-03 13:42:21.669548,
8799,2,Sticker Printer,1,Per Cup,0.01,2026-04-03 13:42:21.669548,
1139,89,Straw,1,Per Cup,0.01,2026-03-09 17:12:15.711628,
1140,89,Cup & Lid,1,Per Cup,0.21,2026-03-09 17:12:15.712164,
1141,89,Sticker (Logo),1,Per Cup,0.05,2026-03-09 17:12:15.712735,
1142,89,Sticker Printer,1,Per Cup,0.01,2026-03-09 17:12:15.713555,
1143,89,Sticker Menu,1,Per Cup,0.05,2026-03-09 17:12:15.7141,
1144,89,Cup Labor,1,Per Cup,0.06,2026-03-09 17:12:15.714668,
1145,89,Ice,1,per lb,0.19,2026-03-09 17:12:15.715477,
1146,89,Water,2,per cup (8oz),0.03,2026-03-09 17:12:15.716033,
1147,89,Lime,1,Per Cup,0.22,2026-03-09 17:12:15.716512,
1148,89,Simple Syrup,2,Per Oz,0.03,2026-03-09 17:12:15.716999,
1149,89,Pineapple,0.75,Per Oz,0.29,2026-03-09 17:12:15.717502,
1150,89,Ingredient Name,1,Unit Type,0,2026-03-09 17:12:15.71801,
8800,2,Cup Labor,1,Per Cup,0.06,2026-04-03 13:42:21.669548,
8801,2,Ice,1,per lb,0.19,2026-04-03 13:42:21.669548,
8802,2,Water,2,per cup (8oz),0.03,2026-04-03 13:42:21.669548,
8803,2,Lemon,1,Per Cup,0.28,2026-04-03 13:42:21.669548,
8804,2,Sugar Free Simple Syrup,6,Per Oz,0.13,2026-04-03 13:42:21.669548,
8805,3,Straw,1,Per Cup,0.01,2026-04-03 13:42:21.669548,103
1471,114,Straw,1,Per Cup,0.01,2026-03-09 17:12:15.972445,
1472,114,Cup & Lid,1,Per Cup,0.21,2026-03-09 17:12:15.973169,
1473,114,Sticker (Logo),1,Per Cup,0.05,2026-03-09 17:12:15.973832,
1474,114,Sticker Printer,1,Per Cup,0.01,2026-03-09 17:12:15.975341,
1475,114,Sticker Menu,1,Per Cup,0.05,2026-03-09 17:12:15.976405,
1476,114,Cup Labor,1,Per Cup,0.06,2026-03-09 17:12:15.977348,
1477,114,Ice,1,per lb,0.19,2026-03-09 17:12:15.978029,
1478,114,Water,2,per cup (8oz),0.03,2026-03-09 17:12:15.978702,
1479,114,Lime,1,Per Cup,0.22,2026-03-09 17:12:15.979436,
1481,114,Watermelon,0.75,Per Oz,0.29,2026-03-09 17:12:15.981448,
1482,114,Ingredient Name,1,Unit Type,0,2026-03-09 17:12:15.98221,
8806,3,Cup & Lid,1,Per Cup,0.21,2026-04-03 13:42:21.669548,104
8807,3,Sticker (Logo),1,Per Cup,0.05,2026-04-03 13:42:21.669548,105
8808,3,Sticker Printer,1,Per Cup,0.01,2026-04-03 13:42:21.669548,106
8809,3,Cup Labor,1,Per Cup,0.06,2026-04-03 13:42:21.669548,108
8810,3,Ice,1,per lb,0.19,2026-04-03 13:42:21.669548,109
8811,3,Water,2,per cup (8oz),0.03,2026-04-03 13:42:21.669548,110
1480,114,Simple Syrup,2,Per Oz,0.03,2026-03-09 17:12:15.980751,
1730,134,Flavor Add On,1,,1,2026-03-09 16:48:11.003012,
8823,5,Straw,1,Per Cup,0.01,2026-04-03 13:42:21.669548,103
8824,5,Cup & Lid,1,Per Cup,0.21,2026-04-03 13:42:21.669548,104
8825,5,Sticker (Logo),1,Per Cup,0.05,2026-04-03 13:42:21.669548,105
8826,5,Sticker Printer,1,Per Cup,0.01,2026-04-03 13:42:21.669548,106
8827,5,Cup Labor,1,Per Cup,0.06,2026-04-03 13:42:21.669548,108
8828,5,Ice,1,per lb,0.19,2026-04-03 13:42:21.669548,109
8829,5,Water,2,per cup (8oz),0.03,2026-04-03 13:42:21.669548,110
8830,5,Lemon,1,Per Cup,0.28,2026-04-03 13:42:21.669548,112
8831,5,Lime,1,Per Cup,0.22,2026-04-03 13:42:21.669548,113
8832,5,Simple Syrup,3,Per Oz,0.03,2026-04-03 13:42:21.669548,114
1732,135,Straw,1,,0.01,2026-03-12 22:01:18.377222,
1733,135,Cup & Lid,1,,0.21,2026-03-12 22:02:05.577235,
1734,135,Sticker (logo),1,,0.05,2026-03-12 22:02:28.600079,
1735,135,Sticker Printer,1,,0.01,2026-03-12 22:02:50.302267,
1736,135,Sticker Menu,1,,0,2026-03-12 22:03:52.907753,
1737,135,Cup Labor,1,,0.06,2026-03-12 22:04:13.622438,
1738,135,Ice,1,Per lb,0.19,2026-03-12 22:04:41.519804,
1739,135,Water,2,,0.03,2026-03-12 22:07:46.215467,
8814,4,Straw,1,Per Cup,0.01,2026-04-03 13:42:21.669548,
8815,4,Cup & Lid,1,Per Cup,0.21,2026-04-03 13:42:21.669548,
8816,4,Sticker (Logo),1,Per Cup,0.05,2026-04-03 13:42:21.669548,
8817,4,Sticker Printer,1,Per Cup,0.01,2026-04-03 13:42:21.669548,
8818,4,Cup Labor,1,Per Cup,0.06,2026-04-03 13:42:21.669548,
8819,4,Ice,1,per lb,0.19,2026-04-03 13:42:21.669548,
8820,4,Water,2,per cup (8oz),0.03,2026-04-03 13:42:21.669548,
8821,4,Lime,1,Per Cup,0.22,2026-04-03 13:42:21.669548,
8822,4,Sugar Free Simple Syrup,6,Per Oz,0.13,2026-04-03 13:42:21.669548,
8833,6,Straw,1,Per Cup,0.01,2026-04-03 13:42:21.669548,
