id,userId,itemName,unitCost,category,sku,updatedAt,quantityOnHand,reorderThreshold,reorderQty
132,92193a1d-52d5-4c20-ba07-0ecea6e0245b,Sugar Free Raspberry,0.29,Sugar Free Syrups,,2026-05-07 22:30:46.091663,0,0,0
120,92193a1d-52d5-4c20-ba07-0ecea6e0245b,Cucumber,0.3,Syrups,,2026-05-07 22:06:33.972421,0,0,0
121,92193a1d-52d5-4c20-ba07-0ecea6e0245b,Lavender,0.29,Syrups,,2026-05-08 13:20:46.677256,123.75,0,0
133,92193a1d-52d5-4c20-ba07-0ecea6e0245b,Sugar Free Strawberry,0.29,Sugar Free Syrups,,2026-05-07 21:38:08.218728,0,0,0
131,92193a1d-52d5-4c20-ba07-0ecea6e0245b,Sugar Free Peach,0.29,Sugar Free Syrups,,2026-05-07 22:06:34.062476,0,0,0
115,92193a1d-52d5-4c20-ba07-0ecea6e0245b,Sugar Free Simple Syrup,0.13,Ingredients,,2026-05-08 13:21:32.93405,128,0,0
113,92193a1d-52d5-4c20-ba07-0ecea6e0245b,Lime,0.22,Ingredients,,2026-05-08 13:16:45.314969,700,50,0
116,92193a1d-52d5-4c20-ba07-0ecea6e0245b,Sweetened Condenced Milk,0.14,Ingredients,,2026-05-08 09:19:57.1689,47,16,0
118,92193a1d-52d5-4c20-ba07-0ecea6e0245b,Candied Orange,0.29,Syrups,,2026-05-08 09:19:57.112052,126.5,32,0
107,92193a1d-52d5-4c20-ba07-0ecea6e0245b,Stickers (Menu),0.05,Supplies,,2026-05-08 13:22:07.952273,1000,0,0
103,92193a1d-52d5-4c20-ba07-0ecea6e0245b,Straws,0.01,Supplies,,2026-05-08 13:18:22.77886,203,100,0
130,92193a1d-52d5-4c20-ba07-0ecea6e0245b,Sugar Free Coconut,0.29,Sugar Free Syrups,,2026-03-05 19:08:39.271793,0,0,0
134,92193a1d-52d5-4c20-ba07-0ecea6e0245b,Sugar Free Cherry,0.29,Sugar Free Syrups,,2026-03-05 19:08:39.278565,0,0,0
129,92193a1d-52d5-4c20-ba07-0ecea6e0245b,Blood Orange,0.29,Syrups,,2026-05-07 22:06:34.129361,0,0,0
124,92193a1d-52d5-4c20-ba07-0ecea6e0245b,Raspberry,0.29,Syrups,,2026-05-08 13:20:08.607862,247.5,0,0
126,92193a1d-52d5-4c20-ba07-0ecea6e0245b,Watermelon,0.29,Syrups,,2026-05-08 13:22:26.432428,123.75,0,0
119,92193a1d-52d5-4c20-ba07-0ecea6e0245b,Coconut,0.29,Syrups,,2026-05-08 09:19:57.241488,122.5,32,0
135,92193a1d-52d5-4c20-ba07-0ecea6e0245b,Flavor Add On,0.29,Syrups,,2026-05-08 09:19:57.185959,0,0,0
111,92193a1d-52d5-4c20-ba07-0ecea6e0245b,Tea Concentrate,0.06,Ingredients,,2026-05-08 09:19:57.128044,196,50,0
104,92193a1d-52d5-4c20-ba07-0ecea6e0245b,Cups & Lids,0.21,Supplies,,2026-05-08 13:26:14.275706,750,100,0
117,92193a1d-52d5-4c20-ba07-0ecea6e0245b,Blue Raspberry,0.29,Syrups,,2026-05-08 09:19:57.241488,121.5,32,0
136,92193a1d-52d5-4c20-ba07-0ecea6e0245b,Glowing Ice Cube,0.27,Supplies,,2026-05-08 13:26:59.123004,250,0,0
140,19acd8db-caf6-49b5-a392-919c5e3c9cdb,Cups & Lids,0.21,Per Cup,,2026-04-02 19:34:04.667563,0,0,0
141,19acd8db-caf6-49b5-a392-919c5e3c9cdb,Stickers (Logo),0.05,Per Label,,2026-04-02 19:34:04.668486,0,0,0
142,19acd8db-caf6-49b5-a392-919c5e3c9cdb,Stickers (Printer),0.01,Per Label,,2026-04-02 19:34:04.669174,0,0,0
