Drink Name,Ingredient Name,Quantity Used,Unit Type,Unit Cost,Cost Per Item
Regular Lemonade,Straw,1,Per Cup,$0.01,$0.01
Regular Lemonade,Cup & Lid,1,Per Cup,$0.21,$0.21
Regular Lemonade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Regular Lemonade,Sticker Printer,1,Per Cup,$0.01,$0.01
Regular Lemonade,Sticker Menu,0,Per Cup,$0.05,$0.00
Regular Lemonade,Cup Labor,1,Per Cup,$0.06,$0.06
Regular Lemonade,Ice,1,per lb,$0.19,$0.19
Regular Lemonade,Water,2,per cup (8oz),$0.03,$0.06
Regular Lemonade,Lemon,1,Per Cup,$0.28,$0.28
Regular Lemonade,Simple Syrup,3,Per Oz,$0.03,$0.10
Regular Lemonade,,,,Cost Per Drink,$0.96
Blue Raspberry Lemonade,Straw,1,Per Cup,$0.01,$0.01
Blue Raspberry Lemonade,Cup & Lid,1,Per Cup,$0.21,$0.21
Blue Raspberry Lemonade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Blue Raspberry Lemonade,Sticker Printer,1,Per Cup,$0.01,$0.01
Blue Raspberry Lemonade,Sticker Menu,0,Per Cup,$0.05,$0.00
Blue Raspberry Lemonade,Cup Labor,1,Per Cup,$0.06,$0.06
Blue Raspberry Lemonade,Ice,1,per lb,$0.19,$0.19
Blue Raspberry Lemonade,Water,2,per cup (8oz),$0.03,$0.06
Blue Raspberry Lemonade,Lemon,1,Per Cup,$0.28,$0.28
Blue Raspberry Lemonade,Simple Syrup,2,Per Oz,$0.03,$0.07
Blue Raspberry Lemonade,Blue Raspberry,0.75,Per Oz,$0.29,$0.22
Blue Raspberry Lemonade,,,,Cost Per Drink,$1.14
Candied Orange Lemonade,Straw,1,Per Cup,$0.01,$0.01
Candied Orange Lemonade,Cup & Lid,1,Per Cup,$0.21,$0.21
Candied Orange Lemonade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Candied Orange Lemonade,Sticker Printer,1,Per Cup,$0.01,$0.01
Candied Orange Lemonade,Sticker Menu,0,Per Cup,$0.05,$0.00
Candied Orange Lemonade,Cup Labor,1,Per Cup,$0.06,$0.06
Candied Orange Lemonade,Ice,1,per lb,$0.19,$0.19
Candied Orange Lemonade,Water,2,per cup (8oz),$0.03,$0.06
Candied Orange Lemonade,Lemon,1,Per Cup,$0.28,$0.28
Candied Orange Lemonade,Simple Syrup,2,Per Oz,$0.03,$0.07
Candied Orange Lemonade,Candied Orange,0.75,Per Oz,$0.29,$0.22
Candied Orange Lemonade,,,,Cost Per Drink,$1.14
Coconut Lemonade,Straw,1,Per Cup,$0.01,$0.01
Coconut Lemonade,Cup & Lid,1,Per Cup,$0.21,$0.21
Coconut Lemonade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Coconut Lemonade,Sticker Printer,1,Per Cup,$0.01,$0.01
Coconut Lemonade,Sticker Menu,0,Per Cup,$0.05,$0.00
Coconut Lemonade,Cup Labor,1,Per Cup,$0.06,$0.06
Coconut Lemonade,Ice,1,per lb,$0.19,$0.19
Coconut Lemonade,Water,2,per cup (8oz),$0.03,$0.06
Coconut Lemonade,Lemon,1,Per Cup,$0.28,$0.28
Coconut Lemonade,Simple Syrup,2,Per Oz,$0.03,$0.07
Coconut Lemonade,Coconut,$0.75,Per Oz,$0.29,$0.22
Coconut Lemonade,,,,Cost Per Drink,$1.14
Cucumber Lemonade,Straw,1,Per Cup,$0.01,$0.01
Cucumber Lemonade,Cup & Lid,1,Per Cup,$0.21,$0.21
Cucumber Lemonade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Cucumber Lemonade,Sticker Printer,1,Per Cup,$0.01,$0.01
Cucumber Lemonade,Sticker Menu,0,Per Cup,$0.05,$0.00
Cucumber Lemonade,Cup Labor,1,Per Cup,$0.06,$0.06
Cucumber Lemonade,Ice,1,per lb,$0.19,$0.19
Cucumber Lemonade,Water,2,per cup (8oz),$0.03,$0.06
Cucumber Lemonade,Lemon,1,Per Cup,$0.28,$0.28
Cucumber Lemonade,Simple Syrup,2,Per Oz,$0.03,$0.07
