date,locationId,grossSales,modifierRevenue,discounts,netSales,tips,squareFees,squareTax,totalCollected,totalWithModifiers
2025-01-10,LVRQ3C0APF339,205.00,0.00,0.00,0.00,16.90,0.00,0.00,205.00,205.00
2025-01-11,LVRQ3C0APF339,1901.60,0.00,9.00,0.00,98.00,0.00,0.00,1892.60,1901.60
2025-01-11,LVYBM098599TD,1724.00,0.00,0.00,0.00,125.20,0.00,0.00,1724.00,1724.00
2025-01-13,LVRQ3C0APF339,54.00,0.00,0.00,0.00,2.00,0.00,0.00,54.00,54.00
2025-01-24,LVRQ3C0APF339,532.00,0.00,8.00,0.00,36.70,0.00,0.00,524.00,532.00
2025-01-24,LVYBM098599TD,458.00,0.00,37.00,0.00,40.25,0.00,0.00,421.00,458.00
2025-01-25,LVRQ3C0APF339,2817.00,0.00,106.00,0.00,169.51,0.00,0.00,2725.00,2817.00
2025-01-25,LVYBM098599TD,852.00,0.00,0.00,0.00,50.75,0.00,0.00,852.00,852.00
2025-02-25,LVRQ3C0APF339,650.00,0.00,300.00,0.00,0.00,0.00,0.00,437.50,650.00
2025-03-08,LVRQ3C0APF339,3453.00,0.00,127.00,0.00,210.25,0.00,0.00,3358.00,3453.00
2025-03-14,LVRQ3C0APF339,530.00,0.00,0.00,0.00,50.96,0.00,0.00,530.00,530.00
2025-03-14,LVYBM098599TD,1494.00,0.00,0.00,0.00,128.65,0.00,0.00,1494.00,1494.00
2025-03-15,LVRQ3C0APF339,1041.00,0.00,36.00,0.00,84.05,0.00,0.00,1005.00,1041.00
2025-03-15,LVYBM098599TD,779.00,0.00,0.00,0.00,56.50,0.00,0.00,779.00,779.00
2025-03-17,LVRQ3C0APF339,143.00,0.00,66.00,0.00,0.00,0.00,0.00,77.00,143.00
2025-03-21,LVRQ3C0APF339,472.00,0.00,2.00,0.00,26.00,0.00,0.00,470.00,472.00
2025-03-21,LVYBM098599TD,937.00,0.00,14.00,0.00,79.05,0.00,0.00,923.00,937.00
2025-03-22,LVRQ3C0APF339,1730.00,0.00,23.00,0.00,114.20,0.00,0.00,1715.00,1730.00
2025-03-22,LVYBM098599TD,2564.00,0.00,62.00,0.00,175.97,0.00,0.00,2502.00,2564.00
2025-03-22,L0Y3QBSRV39VN,435.00,0.00,24.00,0.00,0.00,0.00,0.00,411.00,435.00
2025-04-05,LVRQ3C0APF339,2714.00,0.00,69.50,0.00,170.00,0.00,0.00,2644.50,2714.00
2025-04-11,LVRQ3C0APF339,561.00,0.00,0.00,0.00,39.50,0.00,0.00,561.00,561.00
2025-04-11,LVYBM098599TD,867.00,0.00,19.50,0.00,77.65,0.00,0.00,847.50,867.00
2025-04-11,L0Y3QBSRV39VN,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.75,0.75
2025-04-12,LVRQ3C0APF339,468.00,0.00,144.25,0.00,41.12,0.00,0.00,323.75,468.00
2025-04-12,LVYBM098599TD,1665.00,0.00,11.00,0.00,97.05,0.00,0.00,1654.00,1665.00
2025-04-12,L0Y3QBSRV39VN,1704.00,0.00,1.00,0.00,103.15,0.00,0.00,1703.00,1704.00
2025-04-17,LVYBM098599TD,365.00,0.00,0.00,0.00,31.25,0.00,0.00,365.00,365.00
2025-04-18,LVYBM098599TD,163.00,0.00,8.00,0.00,9.50,0.00,0.00,155.00,163.00
2025-04-19,LVYBM098599TD,1128.00,0.00,4.00,0.00,62.40,0.00,0.00,1124.00,1128.00
2025-04-25,LVRQ3C0APF339,854.00,0.00,30.00,0.00,50.95,0.00,0.00,824.00,854.00
2025-04-25,LVYBM098599TD,1068.00,0.00,0.00,0.00,75.20,0.00,0.00,1068.00,1068.00
2025-04-26,LVRQ3C0APF339,2908.00,0.00,0.00,0.00,230.30,0.00,0.00,2908.00,2908.00
2025-04-26,LVYBM098599TD,1841.00,0.00,6.00,0.00,142.85,0.00,0.00,1835.00,1841.00
2025-04-31,LVYBM098599TD,237.00,0.00,0.00,0.00,12.00,0.00,0.00,237.00,237.00
2025-05-01,LVYBM098599TD,237.00,0.00,0.00,0.00,12.00,0.00,0.00,237.00,237.00
2025-05-02,LVYBM098599TD,370.00,0.00,30.00,0.00,30.90,0.00,0.00,340.00,370.00
2025-05-03,LVRQ3C0APF339,1827.00,0.00,8.00,0.00,84.85,0.00,0.00,1851.00,1827.00
2025-05-03,LVYBM098599TD,2464.00,0.00,32.25,0.00,154.45,0.00,0.00,2431.75,2464.00
2025-05-08,L0Y3QBSRV39VN,30.00,0.00,14.00,0.00,2.40,0.00,0.00,16.00,30.00
2025-05-09,LVRQ3C0APF339,105.00,0.00,6.00,0.00,5.60,0.00,0.00,99.00,105.00
2025-05-10,LVRQ3C0APF339,1382.00,0.00,5.50,0.00,73.75,0.00,0.00,1384.50,1382.00
2025-05-10,LVYBM098599TD,3962.00,0.00,39.50,0.00,262.35,0.00,0.00,3936.50,3962.00
2025-05-10,L0Y3QBSRV39VN,503.00,0.00,24.00,0.00,20.15,0.00,0.00,479.00,503.00
2025-05-17,LVRQ3C0APF339,24.00,0.00,8.00,0.00,0.00,0.00,0.00,16.00,24.00
2025-05-17,LVYBM098599TD,1896.00,0.00,0.00,0.00,153.35,0.00,0.00,1896.00,1896.00
2025-05-23,LVRQ3C0APF339,657.00,0.00,0.00,0.00,48.50,0.00,0.00,657.00,657.00
2025-05-23,LVYBM098599TD,2804.00,0.00,8.00,0.00,170.55,0.00,0.00,2796.00,2804.00
2025-05-23,L0Y3QBSRV39VN,1651.00,0.00,52.00,0.00,81.95,0.00,0.00,1599.00,1651.00
2025-05-24,LVRQ3C0APF339,1311.00,0.00,0.00,0.00,90.05,0.00,0.00,1319.00,1311.00
2025-05-24,LVYBM098599TD,3224.00,0.00,0.00,0.00,215.05,0.00,0.00,3224.00,3224.00
2025-05-24,L0Y3QBSRV39VN,3477.00,0.00,76.00,0.00,137.40,0.00,0.00,3413.00,3477.00
2025-05-25,LVYBM098599TD,3116.00,0.00,2.00,0.00,219.30,0.00,0.00,3114.00,3116.00
2025-05-26,LVRQ3C0APF339,1431.00,0.00,0.00,0.00,55.05,0.00,0.00,1431.00,1431.00
2025-05-26,LVYBM098599TD,4158.00,0.00,9.50,0.00,214.38,0.00,0.00,4148.50,4158.00
2025-05-27,LVRQ3C0APF339,490.00,0.00,0.00,0.00,32.45,0.00,0.00,490.00,490.00
2025-05-29,LVRQ3C0APF339,1267.00,0.00,1.00,0.00,49.15,0.00,0.00,1266.00,1267.00
2025-05-30,LVRQ3C0APF339,1471.00,0.00,66.00,0.00,129.95,0.00,0.00,1405.00,1471.00
2025-06-07,LVRQ3C0APF339,3927.00,0.00,94.00,0.00,336.00,0.00,0.00,3833.00,3927.00
2025-06-07,LVYBM098599TD,5101.00,0.00,0.00,0.00,345.00,0.00,0.00,5101.00,5101.00
2025-06-07,L0Y3QBSRV39VN,2291.00,0.00,30.00,0.00,125.55,0.00,0.00,2261.00,2291.00
2025-06-11,L0Y3QBSRV39VN,1960.00,0.00,30.00,0.00,115.58,0.00,0.00,1930.00,1960.00
2025-06-12,LVRQ3C0APF339,3653.00,0.00,16.00,0.00,203.70,0.00,0.00,3667.00,3653.00
2025-06-12,L0Y3QBSRV39VN,3536.00,0.00,38.00,0.00,255.35,0.00,0.00,3498.00,3536.00
2025-06-13,LVYBM098599TD,4544.00,0.00,8.00,0.00,240.25,0.00,0.00,4536.00,4544.00
2025-06-13,L0Y3QBSRV39VN,5043.00,0.00,28.00,0.00,362.26,0.00,0.00,5015.00,5043.00
2025-06-14,LVRQ3C0APF339,2180.00,0.00,15.50,0.00,159.53,0.00,0.00,2164.50,2180.00
2025-06-14,LVYBM098599TD,5402.00,0.00,16.00,0.00,280.25,0.00,0.00,5386.00,5402.00
2025-06-14,L0Y3QBSRV39VN,5773.00,0.00,3.20,0.00,325.37,0.00,0.00,5806.80,5773.00
2025-06-15,LVYBM098599TD,4655.10,0.00,16.00,0.00,242.87,0.00,0.00,4639.10,4655.10
2025-06-15,L0Y3QBSRV39VN,2044.00,0.00,0.00,0.00,117.75,0.00,0.00,2044.00,2044.00
2025-06-19,L0Y3QBSRV39VN,593.00,0.00,69.00,0.00,25.50,0.00,0.00,524.00,593.00
2025-06-21,LVRQ3C0APF339,1704.00,0.00,0.00,0.00,128.05,0.00,0.00,1709.50,1704.00
2025-06-21,LVYBM098599TD,902.00,0.00,6.00,0.00,63.80,0.00,0.00,896.00,902.00
2025-06-21,L0Y3QBSRV39VN,1028.10,0.00,16.00,0.00,58.80,0.00,0.00,1012.10,1028.10
